Konstrukt,Construct (Translated),Variablenname,Quelle (Unipark / R),Instruktion,Instructions (translated),Fragentext,Text of question (translated),Antwortformat,Format of answer (translate),fehlende Werte (Angabe durch Proband),fehlende Werte (systemseitig),"Rekodierung in R (s. Tabellenblatt ""neu berechnet"")",Anmerkungen,Notes (translated),Änderung über Wellen hinweg,"change between waves (translated)
","Welle 1
03./04.03.","Welle 2
10./11.03.","Welle 3
17./18.03.","Welle 4
24./25.03.","Welle 5
31.03./01.04.","Welle 6
07./08.04.","Welle 7
14./15.04.","Welle 8
21./22.04.","Welle 9
28./29.04.",Welle 10,Welle 11,Welle 12,Welle 13,Welle 14,Welle 15
Alleinerziehend,single parent,SINGLE_PARENT,Unipark,keine,no,Sind Sie alleinerziehend?,Are you a single parent?,"1	Ja
2	Nein","1 Yes
2 No",keine,NA,SINGLE_PARENT_R,Filter: nur wenn CHILD_NO=0,Filter: only if CHILD_NO = 0,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Sprache in Haushalt,Language in household,HOUSE_LANGUAGE,Unipark,keine,no,Wird in Ihrem Haushalt hauptsächlich eine andere Sprache als Deutsch gesprochen?,Is mainly spoken a language other than German in your household?,"1	Ja
2	Nein","1 Yes
2 No",keine,NA,HOUSE_LANGUAGE_R,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Selbständig,Independent,SELF_EMPLOYED,Unipark,keine,no,Sind Sie Freiberufler*in oder selbständig tätig? ,Are you a freelancer * self-employed in it?,"1	Ja
2	Nein","1 Yes
2 No",keine,NA,SELF_EMPLOYED_R,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beruf Gesundheitssektor,Occupation health sector,HEALTH,Unipark,keine,no,Üben Sie einen Beruf im Gesundheitssektor aus?,Do you practice a profession in the health sector?,"1	Ja
2	Nein","1 Yes
2 No",keine,keine,HEALTH_R,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Chronische Erkrankung,chronic disease,CHRONIC,Unipark,keine,no,Haben Sie eine chronische Erkrankung? ,Do you have a chronic illness?,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,NA,CHRONIC_R,keine,no,Nein,No,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Smartphone,Smartphone,HANDY,Unipark,keine,no,"Besitzen Sie ein Smartphone oder planen Sie, demnächst eines zu besitzen? ",Do you have a smartphone or you are planning soon to own one?,"1	Ja
2	Nein","1 Yes
2 No",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Lebenszufriedenheit,life satisfaction,LIFE_SAT,Unipark,keine,no,Wie zufrieden sind Sie gegenwärtig – alles in allem – mit Ihrem Leben?,How satisfied are you - all in all - with your life?,"1	Ganz und gar unzufrieden
2	 
3	 
4	 
5	 
6	 
7	Ganz und gar zufrieden  ","1 completely dissatisfied
2
3
4
5
6
7 completely satisfied",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Psychische Gesundheit,Mental health,PSY_1,Unipark,"Nachstehend finden Sie Beschreibungen, wie Sie sich möglicherweise zuletzt gefühlt oder verhalten haben. Bitte wählen Sie jeweils diejenige Antwort, die Ihrem Befinden während der letzten Woche am besten entspricht oder entsprochen hat. ",Below are descriptions of how you have possibly last felt or behaved. Please select in each case the answer that matches your being during the last week best or has complied.,"Ich fühlte mich nervös, ängstlich oder angespannt.","I felt nervous, anxious or tense.","1	Überhaupt nicht oder weniger als 1 Tag
2	1 bis 2 Tage
3	3 bis 4 Tage
4	5 bis 7 Tage","1 Not at all or less than 1 day
2 1 or 2 days
3 3 to 4 days
4 5 7 days",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Psychische Gesundheit,Mental health,PSY_2,Unipark,"Nachstehend finden Sie Beschreibungen, wie Sie sich möglicherweise zuletzt gefühlt oder verhalten haben. Bitte wählen Sie jeweils diejenige Antwort, die Ihrem Befinden während der letzten Woche am besten entspricht oder entsprochen hat. ",Below are descriptions of how you have possibly last felt or behaved. Please select in each case the answer that matches your being during the last week best or has complied.,Ich fühlte mich niedergeschlagen/deprimiert.,I felt dejected / depressed.,"1	Überhaupt nicht oder weniger als 1 Tag
2	1 bis 2 Tage
3	3 bis 4 Tage
4	5 bis 7 Tage","1 Not at all or less than 1 day
2 1 or 2 days
3 3 to 4 days
4 5 7 days",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Psychische Gesundheit,Mental health,PSY_3,Unipark,"Nachstehend finden Sie Beschreibungen, wie Sie sich möglicherweise zuletzt gefühlt oder verhalten haben. Bitte wählen Sie jeweils diejenige Antwort, die Ihrem Befinden während der letzten Woche am besten entspricht oder entsprochen hat. ",Below are descriptions of how you have possibly last felt or behaved. Please select in each case the answer that matches your being during the last week best or has complied.,Ich fühlte mich einsam.,I felt lonely.,"1	Überhaupt nicht oder weniger als 1 Tag
2	1 bis 2 Tage
3	3 bis 4 Tage
4	5 bis 7 Tage","1 Not at all or less than 1 day
2 1 or 2 days
3 3 to 4 days
4 5 7 days",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Psychische Gesundheit,Mental health,PSY_4,Unipark,"Nachstehend finden Sie Beschreibungen, wie Sie sich möglicherweise zuletzt gefühlt oder verhalten haben. Bitte wählen Sie jeweils diejenige Antwort, die Ihrem Befinden während der letzten Woche am besten entspricht oder entsprochen hat. ",Below are descriptions of how you have possibly last felt or behaved. Please select in each case the answer that matches your being during the last week best or has complied.,Ich dachte voller Hoffnung an die Zukunft.,I thought full of hope about the future.,"1	Überhaupt nicht oder weniger als 1 Tag
2	1 bis 2 Tage
3	3 bis 4 Tage
4	5 bis 7 Tage","1 Not at all or less than 1 day
2 1 or 2 days
3 3 to 4 days
4 5 7 days",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Psychische Gesundheit,Mental health,PSY_5,Unipark,"Nachstehend finden Sie Beschreibungen, wie Sie sich möglicherweise zuletzt gefühlt oder verhalten haben. Bitte wählen Sie jeweils diejenige Antwort, die Ihrem Befinden während der letzten Woche am besten entspricht oder entsprochen hat. ",Below are descriptions of how you have possibly last felt or behaved. Please select in each case the answer that matches your being during the last week best or has complied.,"Gedanken an meine Erfahrungen in der Corona-Pandemie lösten bei mir körperliche Reaktionen aus, wie Schwitzen, Atemnot, Schwindel oder Herzklopfen.","Thoughts broke my experience in Corona pandemic in my physical reactions, such as sweating, shortness of breath, dizziness or palpitations.","1	Überhaupt nicht oder weniger als 1 Tag
2	1 bis 2 Tage
3	3 bis 4 Tage
4	5 bis 7 Tage","1 Not at all or less than 1 day
2 1 or 2 days
3 3 to 4 days
4 5 7 days",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Aktivitäten,activities,FREQ_OTHERS,Unipark,Bitte denken Sie an die letzten vier Wochen zurück.,Please think back to the last four weeks.,"Welle 9: Wie viel Mal pro Woche haben Sie Personen gesehen, die nicht zu Ihrem Haushalt gehören?
Welle 8: Wie viel Mal pro Woche sehen Sie Personen, die nicht zu Ihrem Haushalt gehören?","Wave 9: How much time per week you have seen people who do not belong to your household?
Wave 8: How many times a week you see people who do not belong to your household?","1 Gar nicht
2 Ein Mal pro Woche 
3 Zwei bis vier Mal pro Woche 
4 Fünf Mal pro Woche und öfters

[Welle 8: ___ mal pro Woche   Ganzzahl]","1 Not at all
2 Once a week
3 Two to four times a week
4 Five times a week and often

[Shaft 8: ___ times a week Integer]",keine,NA,keine,keine,no,"Ja, Formulierung und Antwortformat","Yes, formulation and response format",Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,tba,tba,tba,tba,tba,tba
Aktivitäten,activities,FREQ_SHOP,Unipark,Bitte denken Sie an die letzten vier Wochen zurück.,Please think back to the last four weeks.,Wie oft gehen Sie pro Woche einkaufen?,How often do you go shopping a week?,___ mal pro Woche   Ganzzahl,___ times a week integer,keine,NA,keine,keine,no,"Ja, Antwortformat","Yes, the response format",Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Aktivitäten,activities,FREQ_SHOP1,Unipark,Bitte denken Sie an die letzten vier Wochen zurück.,Please think back to the last four weeks.,Wie oft waren Sie pro Woche Lebensmittel einkaufen?,How often have you been shopping for groceries each week?,"1 Gar nicht
2 Ein Mal pro Woche
3 Zwei Mal pro Woche
4 Drei Mal pro Woche und öfters
","1 Not at all
2 Once a week
3 Twice a week
4 three times a week and often
",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,tba,tba,tba,tba,tba,tba
Aktivitäten,activities,FREQ_SHOP2,Unipark,Bitte denken Sie an die letzten vier Wochen zurück.,Please think back to the last four weeks.,Wie oft waren Sie pro Woche im Einzelhandel einkaufen? ,How many times per week were shopping at retail?,"1 Gar nicht
2 Ein Mal pro Woche
3 Zwei Mal pro Woche
4 Drei Mal pro Woche und öfters
","1 Not at all
2 Once a week
3 Twice a week
4 three times a week and often
",keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,tba,tba,tba,tba,tba,tba
Aktivitäten,activities,FREQ_DOC,Unipark,Bitte denken Sie an die letzten vier Wochen zurück.,Please think back to the last four weeks.,Wie oft waren Sie im vergangenen Monat beim Arzt?,How often were you last month to the doctor?,"1 Gar nicht
2 Ein Mal pro Monat
3 Zwei Mal pro Monat und öfters

[Welle 8: ___ mal pro Monat   Ganzzahl]","1 Not at all
2 Once a month
3 two times a month and often

[Shaft 8: ___ times per month Integer]",keine,NA,keine,keine,no,"Ja, Antwortformat","Yes, the response format",Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,tba,tba,tba,tba,tba,tba
Aktivitäten,activities,FREQ_OOO,Unipark,Nun denken Sie bitte an die zurückliegende Woche.,Now please think of the past week.,Wie viele Stunden pro Tag haben Sie in der letzten Woche im Schnitt NICHT zu Hause verbracht?,How many hours a day did you spend last week on average NOT at home?,"1 Gar keine
2 Bis zu zwei Stunden
3 Zwei bis fünf Stunden
4 Mehr als fünf Stunden

[Welle 8: ___ Stunden am Tag   Ganzzahl]","1 None at all
2 Up to two hours
3 Two to five hours
4 More than five hours

[Shaft 8: ___ hours a day integer]",keine,NA,keine,keine,no,"Ja, Antwortformat","Yes, the response format",Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,tba,tba,tba,tba,tba,tba
Bekanntheit Corona,Awareness Corona,AWARENESS,Unipark,keine,no,Haben Sie von dem Ausbruch des neuartigen Coronavirus gehört,Have you heard of the outbreak of the novel coronavirus,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
Eigene Infektion,own infection,INFECTED,Unipark,keine,no,Haben oder hatten Sie sich mit dem neuartigen Coronavirus infiziert?,Have you ever had been infected with the novel coronavirus?,"1	Ja, bestätigt
2	Ja, aber noch nicht bestätigt
11       Ja, überstanden [ab Welle 6]
3	Nein
99	Weiß nicht","confirmed 1 Yes,
But not yet confirmed 2 Yes
11 Yes, survived [from shaft 6]
3 No
99 Do not know",99,"NA
0
","INFECTED_R
INFECTED_R_RISK",wurde erst im Verlauf der Welle 2 zur Pflichtfrage,was only in the course of the shaft 2 compulsory question,"Ja, Antwortvorgaben","Yes, choice answers",Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Infektion im Umfeld,Infection in the environment,INFECTED_PEERS,Unipark,keine,no,"Kennen Sie Menschen in Ihrem direkten persönlichen Umfeld, die sich mit dem neuartigen Coronavirus infiziert haben oder hatten?","Do you know people in your immediate personal environment, which have been infected with the novel coronavirus or had?","1	Ja, bestätigt
2	Ja, aber noch nicht bestätigt
3	Nein
99	Weiß nicht","confirmed 1 Yes,
But not yet confirmed 2 Yes
3 No
99 Do not know",99,"NA
0
","INFECTED_PEERS_R
INFECTED_PEERS_R_RISK",wurde erst im Verlauf der Welle 2 zur Pflichtfrage,was only in the course of the shaft 2 compulsory question,Nein,No,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Infektion im Umfeld,Infection in the environment,"INFEC_P_NOT_TESTED
INFEC_P_CONFIRMED
INFEC_P_RECOVERED
INFEC_P_DEAD
INFEC_P_NONE
INFEC_P_DONTKNOW",Unipark,keine,no,Bitte denken Sie nun an Ihr persönliches Umfeld im Zusammenhang mit dem neuartigen Coronavirus.     Welche der Aussagen treffen auf Ihr persönliches Umfeld zu?,"Now, please think about your personal environment in connection with the novel coronavirus. Which of the statements apply to your personal environment?","INFEC_P_NOT_TESTED	Es gibt ungetestete Verdachtsfälle
INFEC_P_CONFIRMED	Es gibt bestätigte Fälle erkrankter Personen
INFEC_P_RECOVERD	Es gibt genesene Personen
INFEC_P_DEAD	Es gibt verstorbene Personen
INFEC_P_NONE	is gibt keine Fälle
INFEC_P_DONTKNOW	Weiß nicht
	0	not quoted
	1	quoted","INFEC_P_NOT_TESTED There are untested suspected cases
INFEC_P_CONFIRMED There are confirmed cases of sick people
INFEC_P_RECOVERD There are convalescent persons
INFEC_P_DEAD There are deceased persons
INFEC_P_NONE is are no cases
INFEC_P_DONTKNOW Do not know
0 not quoted
1 quoted",INFEC_P_DONTKNOW = 1,NA,keine,keine,no,Vergleichbar zu INFECTED_PEERS,Similar to INFECTED_PEERS,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Selbsteinschätzung Wissen,Self-assessment of knowledge,PERCEIVED_KNOWLEDGE,Unipark,keine,no,Wie schätzen Sie Ihren Wissenstand über das neuartige Coronavirus ein? ,How would you rate your level of knowledge about the novel coronavirus?,"1	Gar kein Wissen   
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Wissen   ","1 Gar no knowledge
2
3
4
5
6
7 Very much knowledge",keine,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Name Virus,name virus,VIRUS_NAME,Unipark,keine,no,Wie lautet die korrekte wissenschaftliche Bezeichnung des neu aufgetretenen Coronavirus?,What is the correct scientific name of the newly occurring coronavirus?,"1	2019-nCoV
2	COVID-19
3	SARS-CoV-2
4	MERS-CoV
5	A/H1N1
99	Weiß nicht","1 2019 Ncov
2 COVID-19
3 SARS-CoV-2
4 MERS-CoV
5 A / H1N1
99 Do not know",99,NA,KNOW_COVID_1,"zusätzliche Antwortoptionen ab Welle 2:
4	MERS-CoV
5	A/H1N1","additional response options from wave 2:
4 MERS-CoV
5 A / H1N1","Ja, Antwortvorgaben","Yes, choice answers",Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_FEVER,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Fieber,fever,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,https://www.sciencemag.org/news/2020/04/how-does-coronavirus-kill-clinicians-trace-ferocious-rampage-through-body-brain-toes#,https://www.sciencemag.org/news/2020/04/how-does-coronavirus-kill-clinicians-trace-ferocious-rampage-through-body-brain-toes#,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_COUGH,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Husten,to cough,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_SHORTNESS_BREATH,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Kurzatmigkeit,shortness of breath,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,https://www.zusammengegencorona.de/informieren/symptome-erkennen/,https://www.zusammengegencorona.de/informieren/symptome-erkennen/,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_SORE_THROAT,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Halsschmerzen,Sore throat,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_RUNNY_NOSE,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Laufende oder verstopfte Nase,Runny or stuffy nose,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_MUSCLE_PAIN,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Muskel- oder Gliederschmerzen,Muscle or joint pain,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_HEADACHE,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Kopfschmerzen,a headache,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_TIREDNESS,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Müdigkeit (Erschöpfung),Tiredness (fatigue),"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Symptome,symptoms,SYMP_DIARRHEA,Unipark,Welche der folgenden Symptome können mit dem neu aufgetretenen Coronavirus in Verbindung gebracht werden? ,Which of the following symptoms may be related to the newly occurring coronavirus related?,Durchfall,diarrhea,"1	Steht in Verbindung  mit dem Coronavirus
2	Steht nicht in Verbindung  mit dem Coronavirus
99	Weiß nicht","1 is in communication with the Coronavirus
2 is not in connection with the Coronavirus
99 Do not know",99,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
